doi
10.1109/TIT.2008.928267
10.1109/TIT.2004.838092
10.1109/TIT.2015.2504967
10.1108/GKMC-09-2021-0151
10.1080/14778238.2020.1860663
10.1300/J111v40n01_02
10.1080/12460125.2012.677647
10.1177/0165551512463650
10.5860/crl.70.4.351
10.5771/0943-7444-2017-2-84
10.1109/TIT.2014.2307070
10.1109/TIT.2004.834759
10.1515/libri-2014-0010
10.1080/02763869.2019.1595281
10.31341/jios.40.2.1
10.1177/0961000620909160
10.1057/palgrave.ejis.3000509
10.1109/TIT.2013.2240436
10.1093/iwc/iwv021
10.1108/jd.2002.58.3.350.15
10.3233/EFI-2003-212-303
10.1108/02640470410552974
10.1109/TIT.2011.2110090
10.1108/VJIKMS-08-2020-0155
10.1108/GKMC-03-2020-0034
